feature,importance
track_genre_index,0.7593664609012917
is_feat,0.028642484650189943
acousticness,0.02577029890387985
loudness,0.025244707914016937
danceability,0.019598944731728584
instrumentalness,0.01840162228045189
energy_dance_interaction,0.017838475538182096
speechiness,0.01776305206279002
artist_count,0.017733047241834915
tempo,0.01714523172265825
valence,0.012419576368812198
mood_index,0.010316035052371102
duration_ms,0.010048839948155981
liveness,0.009415971767593961
explicit_int,0.005200412434503172
energy,0.005094838481539333
is_short_track,0.0
