feature,importance
track_genre_index,0.28143849608152555
duration_ms,0.06806609950322756
liveness,0.06564141506189004
speechiness,0.06475055972048065
loudness,0.06345671110919701
tempo,0.06325202006043247
danceability,0.05961283489398223
acousticness,0.058276834104224004
instrumentalness,0.05805686500057821
valence,0.05700151980974647
energy,0.052249032688468366
mood_index,0.042749852004906344
energy_dance_interaction,0.03460276585393776
artist_count,0.016029918875852537
explicit_int,0.008238445699400444
is_feat,0.005973416637883173
is_short_track,0.0006032128942669742
