feature,importance
track_genre_index,0.6126032048177571
acousticness,0.045144194744178204
instrumentalness,0.03902891191908858
duration_ms,0.03345385429387291
energy,0.030690113294736893
danceability,0.027954930743767228
is_feat,0.027223895919091207
artist_count,0.025588976510567678
loudness,0.024937420503393794
energy_dance_interaction,0.02476114105916551
speechiness,0.02441192372503439
mood_index,0.023950091149923636
valence,0.02141373557784623
liveness,0.018087069917871287
tempo,0.01653959675005411
explicit_int,0.003072392796048838
is_short_track,0.0011385462776023387
